Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
1861.49,2017-01-14,2017-01-11,1675.341,1861.49,RXRD651209,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
2603.65,2017-01-14,2017-01-11,2343.285,2603.65,RXRD651501,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
266.09,2017-01-14,2017-01-10,239.481,266.09,SACKR2930AM1219,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
1055.3,2017-01-14,2017-01-10,949.77,1055.3,SBR03-123336-102153,MCKESSON CORPORATION,AL,MCCALLA,35111,USA,OPELIKA,AL,36801,AT3,
353.73,2017-01-14,2017-01-11,318.357,353.73,SDC100136850145,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,SPARTANBURG,SC,29301,PS0,
3.21,2017-01-14,2017-01-11,2.889,3.21,TJP121516AJE012,MCKESSON CORPORATION,VA,RUTHER GLEN,22546,USA,FREDERICK,MD,21702,FT2,
0.0,2017-01-14,2017-01-11,0.0,0.0,TOM093016I2-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,BRISTOL,PA,19007,FI3,
0.0,2017-01-14,2017-01-13,0.0,0.0,TOM110216NN-2AMNL,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NORTHAMPTON,PA,18067,BN7,
8.04,2017-01-14,2017-01-10,7.236,8.04,TPRF51161553126,CARDINAL HEALTH,IL,AURORA,60502,USA,GREENPORT,NY,11944,BP7,
59.25,2017-01-14,2017-01-10,53.325,59.25,TPRF51161553166,CARDINAL HEALTH,IL,AURORA,60502,USA,RICE LAKE,WI,54868,AT2,
262.62,2017-01-14,2017-01-10,236.358,262.62,TPRF51161554012,CARDINAL HEALTH,IL,AURORA,60502,USA,LAPEER,MI,48446,BR9,
59.25,2017-01-14,2017-01-10,53.325,59.25,TPRF51161554670,CARDINAL HEALTH,IL,AURORA,60502,USA,UNIONTOWN,PA,15401,BG7,
254.44,2017-01-14,2017-01-11,228.996,254.44,UXA31235AMN16349,AMERISOURCEBERGEN DRUG CORP,NY,NORTH AMITYVILLE,11701,USA,BRONX,NY,10457,FB2,
101.2,2017-01-14,2017-01-11,91.08,101.2,UXK26220AMN16348,KINRAY LLC,NY,WHITESTONE,11357,USA,BROOKLYN,NY,11205,BM8,
461.47,2017-01-14,2017-01-11,415.323,461.47,VDC100137170078,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,VALDOSTA,GA,31601,RS0,
68.2,2017-01-14,2017-01-10,61.38,68.2,VDC100137170111,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,VALDOSTA,GA,31601,RS0,
5349.0,2017-01-14,2017-01-10,4814.1,5349.0,WAG46278,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6167.8,2017-01-14,2017-01-10,5551.02,6167.8,WAG46370,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6624.39,2017-01-14,2017-01-10,5961.951,6624.39,WAG46447,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6493.66,2017-01-14,2017-01-10,5844.294,6493.66,WAG46534,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
155.33,2017-01-14,2017-01-10,139.79700000000005,155.33,WAL1216,AMERISOURCEBERGEN DRUG CORP,OH,LOCKBOURNE,43137,USA,PITTSBURGH,PA,15212,FM5,
1788.07,2017-01-14,2017-01-10,1609.263,1788.07,WGC100139990050,AMERISOURCEBERGEN DRUG CORP,NJ,THOROFARE,08086,USA,WINDSOR,WI,53598,RW0,
8.0,2017-01-14,2017-01-10,7.2,8.0,WHY1216,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NEW PARIS,PA,15554,BW8,
156186.58,2017-01-14,2017-01-10,140567.922,156282.58,XO0117140711,MCKESSON DRUG COMPANY,TX,CARROLLTON,75006,USA,CARROLLTON,TX,75006,RM0,
5399.02,2017-01-21,2017-01-16,4859.118,5399.02,020102727,AMERISOURCEBERGEN DRUG CORP,AZ,PHOENIX,85009,USA,PHOENIX,AZ,85009,RA0,
108212.98,2017-01-21,2017-01-15,97391.682,108213.94,0537071552,AMERISOURCEBERGEN,NJ,THOROFARE,08086,USA,THOROFARE,NJ,08086,RA0,
0.0,2017-01-21,2017-01-16,0.0,0.0,121684560,MCKESSON CORPORATION,OH,WASHINGTON CT HOUSE,43160,USA,CENTERBURG,OH,43011,BF4,
1798.7,2017-01-21,2017-01-15,1618.83,1798.7,AIT0117066130,AMERISOURCEBERGEN,NJ,WEST DEPTFORD,08086,USA,WEST DEPTFORD,NJ,08086,RA0,
236.92,2017-01-21,2017-01-20,213.228,241.92,CG170112355,CARDINAL GEORGIA RETAILERS,NC,GREENSBORO,27407,USA,GREENSBORO,NC,27407,RW0,
95.75,2017-01-21,2017-01-20,86.175,95.75,CPA0117001468,AMERISOURCEBERGEN,NJ,WEST DEPFORD,08086,USA,WEST DEPFORD,NJ,08086,RA0,
0.0,2017-01-21,2017-01-14,0.0,0.0,DD111716,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,SPRINGVILLE,NY,14141,BS6,
0.0,2017-01-21,2017-01-17,0.0,0.0,EVC1612,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,EVANS CITY,PA,16033,BE1,
15001.99,2017-01-21,2017-01-19,13501.791,15001.99,EXPMH-0117099957,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,DANVILLE,IL,61834,RM0,
0.0,2017-01-21,2017-01-14,0.0,0.0,EZ56573,DAKOTA DRUG,ND,MINOT,58703,USA,CULBERTSON,MT,59218,BC4,
0.0,2017-01-21,2017-01-16,0.0,0.0,EZ56637C4,DAKOTA DRUG,ND,MINOT,58703,USA,OMAHA,NE,68117,BK4,
0.0,2017-01-21,2017-01-16,0.0,0.0,EZ56647C4,DAKOTA DRUG,ND,MINOT,58703,USA,NEVADA,IA,50201,FD3,
20.0,2017-01-21,2017-01-16,18.0,20.0,EZR56163C4,CARDINAL HEALTH,WI,HUDSON,54016,USA,BRIDGEWATER,SD,57319,BH8,
209.85,2017-01-21,2017-01-20,188.865,209.85,GA011736212,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,THOROFARE,NJ,08086,RA0,
190.22,2017-01-21,2017-01-17,171.198,190.22,PBH05131609102153-C,CARDINAL HEALTH,IL,AURORA,60502,USA,DANVILLE,PA,17822,AG2,
312.64,2017-01-21,2017-01-17,281.376,312.64,PBH05131976102153-C,CARDINAL HEALTH,IL,AURORA,60502,USA,INDIANAPOLIS,IN,46222,AI6,
1920.96,2017-01-21,2017-01-18,1728.864,1920.96,PBX011703463,AMERISOURCEBERGEN DRUG CORP,NJ,THOROFARE,08086,USA,LAKELAND,FL,33802-0407,RP0,
1360.72,2017-01-21,2017-01-18,1224.648,1360.72,PBXN011703186,AMERISOURCEBERGEN DRUG CORP,NJ,THOROFARE,08086,USA,LAKELAND,FL,33802-0407,RP0,
48.03,2017-01-21,2017-01-17,43.227,48.03,PLG07129526102153-C,MCKESSON CORPORATION,CA,WEST SACRAMENTO,95691,USA,SAN FRANCISCO,CA,94121,BV3,
667.2,2017-01-21,2017-01-20,600.48,667.2,PLG07132253102153-C,AMERISOURCEBERGEN DRUG CORP,NC,MORRISVILLE,27560,USA,FORT BRAGG,NC,28310,AW5,
95.11,2017-01-21,2017-01-20,85.599,95.11,PLH08132147102153-C,MORRIS & DICKSON CO,LA,SHREVEPORT,71115,USA,SAINT LOUIS,MO,63112,BM4,
63.71,2017-01-21,2017-01-19,57.339,63.71,PLK10400941267,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,TIPTON,IA,52772,BT8,
213.98,2017-01-21,2017-01-19,192.582,213.98,PLK40412841267,CARDINAL HEALTH,IL,AURORA,60502,USA,WASHINGTON,IN,47501,BW1,
356.62,2017-01-21,2017-01-20,320.958,356.62,PLR01-126754-102153A,AMERISOURCEBERGEN DRUG CORPORATION,TX,ROANOKE,76262,USA,WEATHERFORD,TX,76086,BH6,
937.92,2017-01-21,2017-01-20,844.1279999999998,937.92,PLR02131671102153-C,MCKESSON CORPORATION,TX,CONROE,77303,USA,ZIMMERMAN,MN,55398,BF9,
625.28,2017-01-21,2017-01-17,562.752,625.28,PLR06131934102153-C,AMERISOURCEBERGEN DRUG,IL,ROMEOVILLE,60446,USA,LA CROSSE,WI,54601,AG3,
63.71,2017-01-21,2017-01-19,57.339,63.71,RA121516EC21267,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,NORWICH,NY,13815,BB0,
122.76,2017-01-21,2017-01-16,110.484,122.76,RABF49161550587,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,OLNEY,MD,20832,BO8,
54.85,2017-01-21,2017-01-14,49.365,54.85,RXRD628998,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
109.34,2017-01-21,2017-01-14,98.406,109.34,RXRD648303,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
31.12,2017-01-21,2017-01-17,28.008000000000003,31.12,RXRD650196,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
117.56,2017-01-21,2017-01-20,105.804,117.56,RXRD652613,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
95.15,2017-01-21,2017-01-20,85.635,95.15,TPRF48161548922,CARDINAL HEALTH,IL,AURORA,60502,USA,ROSSVILLE,KS,66533,AD7,
12782.29,2017-01-21,2017-01-19,11504.061000000002,12782.29,VDR01170006830,VALUE DRUG,PA,DUNCANSVILLE,16635,USA,DUNCANSVILLE,PA,16635,RV0,
1407.0,2017-01-21,2017-01-16,1266.3,1407.0,WGC100139980132,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
0.0,2017-01-21,2017-01-18,0.0,0.0,WHY1612,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NEW PARIS,PA,15554,BW8,
13345.71,2017-01-21,2017-01-16,12011.139,13473.96,WPMI16121341,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,BENTONVILLE,AR,72716,RW0,
56971.58,2017-01-21,2017-01-19,51274.422,56971.58,XI1216107812,MCKESSON CORPORATION,TX,CONROE,77303,USA,CONROE,TX,77303,RM0,
3.6,2017-01-28,2017-01-24,3.24,3.6,031436ARK4510,MCKESSON CORPORATION,NJ,DELRAN,08075,USA,BROOKLYN,NY,11223,FK3,
0.0,2017-01-28,2017-01-25,0.0,0.0,101622670,MIAMI-LUKEN,OH,SPRINGBORO,45066,USA,AKRON,OH,44303,BH2,
559.38,2017-01-28,2017-01-27,503.442,559.38,121216008,BURLINGTON DRUG COMPANY,VT,MILTON,05468,USA,MILTON,VT,05468,PB0,
683.15,2017-01-28,2017-01-24,614.835,683.15,145220,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,ROCHESTER,NY,14624,PR0,
334.2,2017-01-28,2017-01-26,300.78,334.2,145305,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,ROCHESTER,NY,14624,PR0,
109.93,2017-01-28,2017-01-24,98.937,109.93,1655513,MWI VETERINARY SUPPLY CO,PA,ELIZABETHTOWN,17022,USA,ELIZABETHTOWN,PA,17022,RM0,
69.2,2017-01-28,2017-01-24,62.28,69.2,1657631,MWI VETERINARY SUPPLY CO,PA,ELIZABETHTOWN,17022,USA,ELIZABETHTOWN,PA,17022,RM0,
44.39,2017-01-28,2017-01-24,39.951,44.39,420021,AMERISOURCEBERGEN DRUG CORP,TX,SUGAR LAND,77478,USA,LUFKIN,TX,75904,AA8,
24.16,2017-01-28,2017-01-24,21.744,24.16,470085,MCKESSON CORPORATION,OK,OKLAHOMA CITY,73179,USA,WHITESBORO,TX,76273,BA6,
69.75,2017-01-28,2017-01-24,62.775,69.75,612163,MCKESSON CORPORATION,MO,O''FALLON,63366,USA,CLAYTON,MO,63105,FM2,
0.0,2017-01-28,2017-01-24,0.0,0.0,74880716,MCKESSON CORPORATION,FL,LAKELAND,33805,USA,BLOUNTSTOWN,FL,32424,BG2,
659.12,2017-01-28,2017-01-24,593.208,659.12,7T121316B1267,MORRIS & DICKSON CO,LA,SHREVEPORT,71115,USA,COMMERCE,TX,75428,FT0,
2534.24,2017-01-28,2017-01-24,2280.816,2534.24,ABM011739328,McKesson Financial Center,IL,Danville,61834,USA,PONCA CITY,OK,74601,RA0,
1320.21,2017-01-28,2017-01-21,1188.189,1320.21,AHD100152070270,MCKESSON CORPORATION,TX,CONROE,77303,USA,CARLISLE,PA,17013-1607,RM0,
158.0,2017-01-28,2017-01-24,142.2,158.0,AMN11282016VER,AMERISOURCEBERGEN DRUG CORP,MA,MANSFIELD,02048,USA,BURLINGTON,VT,05408,BV8,
134.12,2017-01-28,2017-01-24,120.708,134.12,ARKPP7644510,CARDINAL HEALTH,OH,GROVEPORT,43125,USA,BROOKLYN,NY,11223,FC4,
194.27,2017-01-28,2017-01-25,174.84300000000002,194.27,BDT011714708,BI-LO PHARMACY,FL,JACKSONVILLE,32254,USA,JACKSONVILLE,FL,32254,BB7,
272.03,2017-01-28,2017-01-25,244.827,272.03,BIT011714510,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,JACKSONVILLE,FL,32254,BB7,
7643.61,2017-01-28,2017-01-23,6879.249,7643.61,CIP011714958,CARDINAL HEALTH,OH,DUBLIN,43017,USA,DUBLIN,OH,43017,RW0,
857.0,2017-01-28,2017-01-24,771.3,857.0,CRX12012016021,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
1211.77,2017-01-28,2017-01-25,1090.593,1211.77,DIR011741851,WINN DIXIE STORES,FL,JACKSONVILLE,32254,USA,JACKSONVILLE,FL,32254,BW8,
50097.8,2017-01-28,2017-01-25,45088.02,50097.8,EXPCR-011745755,CARDINAL HEALTH,OH,COLUMBUS,43218-2516,USA,COLUMBUS,OH,43218-2516,RW0,
6365.22,2017-01-28,2017-01-26,5728.698,6365.22,EXPMG-011728332,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,DANVILLE,IL,61834,RM0,
18750.06,2017-01-28,2017-01-23,16875.054,18750.06,EXPMR-011751964,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,DANVILLE,IL,61834,RM0,
50.9,2017-01-28,2017-01-26,45.81,50.9,GB26170104-0025642,CARDINAL HEALTH,NC,GREENSBORO,27407,USA,NICHOLASVILLE,KY,40356,FN1,
7.6,2017-01-28,2017-01-24,6.84,7.6,HBR1216,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,PITTSBURGH,PA,15213,BH7,
1069.6,2017-01-28,2017-01-24,962.6399999999999,1069.6,HH121916B1267,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,WARREN,PA,16365,BG9,
38.03,2017-01-28,2017-01-24,34.227000000000004,38.03,HH121916D1267,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,MONONGAHELA,PA,15063,BS2,
455.87,2017-01-28,2017-01-24,410.283,455.87,IZ113016F1267,MORRIS & DICKSON CO,LA,SHREVEPORT,71115,USA,POPLARVILLE,MS,39470,AB8,
3040.31,2017-01-28,2017-01-24,2736.279,3040.31,KSP011713258,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,DOWNEY,CA,90242,PK0,
1784.88,2017-01-28,2017-01-26,1606.392,1784.88,LDC01175296,CARDINAL HEALTH,OH,COLUMBUS,43218,USA,SIOUX FALLS,SD,57105,AL6,
62.77,2017-01-28,2017-01-24,56.493,62.77,MK120816F,CARDINAL HEALTH,MA,PEABODY,01960,USA,PROVIDENCE,RI,02906,AE7,
44.97,2017-01-28,2017-01-24,40.473,44.97,MK120816H,AMERISOURCEBERGEN DRUG CORP,GA,SUWANEE,30024,USA,LAVONIA,GA,30553,BR5,
570.44,2017-01-28,2017-01-24,513.3960000000001,570.44,MK120916A,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,STATEN ISLAND,NY,10314,FG3,
15.25,2017-01-28,2017-01-24,13.725,15.25,MT122316B1267,MORRIS & DICKSON CO,LA,SHREVEPORT,71115,USA,CHATSWORTH,GA,30705,AC1,
6779.79,2017-01-28,2017-01-24,6101.811,6779.79,NAI0117017443,MCKESSON FINANCIAL CENTER,IL,DANVILLE,61834,USA,PONCA CITY,OK,74601,RA0,
0.0,2017-01-28,2017-01-26,0.0,0.0,NST1608,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NEW STANTON,PA,15672,BN2,
0.0,2017-01-28,2017-01-25,0.0,0.0,NST1612,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NEW STANTON,PA,15672,BN2,
0.0,2017-01-28,2017-01-24,0.0,0.0,OMG110816RD,KINRAY LLC,NY,WHITESTONE,11357,USA,BROOKLYN,NY,11226,B92,
0.0,2017-01-28,2017-01-24,0.0,0.0,OMG111016CK,KINRAY LLC,NY,WHITESTONE,11357,USA,BROOKLYN,NY,11214,FA4,
914.16,2017-01-28,2017-01-24,822.7439999999998,914.16,PBH07129336102153,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
759.78,2017-01-28,2017-01-24,683.802,759.78,PLG07126781102153,DAKOTA DRUG,ND,MINOT,58703,USA,MINOT AFB,ND,58705,AU5,
228.24,2017-01-28,2017-01-26,205.416,228.24,PLK10401801267,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,CROSSNORE,NC,28616,BC8,
4564.76,2017-01-28,2017-01-26,4108.284000000001,4564.76,PLK1041206-1267,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
200.15,2017-01-28,2017-01-21,180.135,200.15,PLK4024794 - 1267,CARDINAL HEALTH,IL,AURORA,60502,USA,NORCROSS,GA,30092,BM7,
10.32,2017-01-28,2017-01-26,9.288,10.32,PLK40400481267,CARDINAL HEALTH,IL,AURORA,60502,USA,VALDOSTA,GA,31602,BT6,
135322.5,2017-01-28,2017-01-24,121790.25,135322.5,PLKU4033244-1267,CARDINAL HEALTH,IL,AURORA,60502,USA,CARLSBAD,CA,92010,BP9,
0.0,2017-01-28,2017-01-26,0.0,0.0,PLR01-116855-102153,BELLCO DRUG CORP,NY,NORTH AMITYVILLE,11701,USA,HOUSTON,TX,77034,RB0,
208.66,2017-01-28,2017-01-26,187.794,208.66,PLR01128867102153,SMITH DRUG COMPANY,GA,VALDOSTA,31601,USA,PANAMA CITY,FL,32401,FC2,
8.55,2017-01-28,2017-01-24,7.695,8.55,PXMB0117,CARDINAL HEALTH,WV,WHEELING,26003,USA,PUNXSUTAWNEY,PA,15767,FT4,
6.58,2017-01-28,2017-01-24,5.922,6.58,RABF01171558341,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,JEANERETTE,LA,70544,BC8,
594.95,2017-01-28,2017-01-24,535.455,594.95,RABF02171559633,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,NASHVILLE,TN,37217,FD0,
3.82,2017-01-28,2017-01-24,3.438,3.82,RABF13171498446,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,ASHTABULA,OH,44004,FH0,
7.18,2017-01-28,2017-01-24,6.462,7.18,RABF53161557745,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,NORTH PLAINFIELD,NJ,07060,BL7,
25.34,2017-01-28,2017-01-24,22.806,25.34,RJ122116F1267,SMITH DRUG COMPANY,GA,VALDOSTA,31601,USA,SAINT PETERSBURG,FL,33703,FU1,
119.09,2017-01-28,2017-01-23,107.181,119.09,RXRD648394,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
5455.54,2017-01-28,2017-01-24,4909.986,5455.54,RXRD651816,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
987.48,2017-01-28,2017-01-24,888.732,987.48,RXRD651852,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
450.48,2017-01-28,2017-01-24,405.432,450.48,RXRD651982,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
9835.68,2017-01-28,2017-01-25,8852.112000000001,9835.68,RXRD652105,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
14966.08,2017-01-28,2017-01-26,13469.472,14966.08,RXRD652174,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
1762.22,2017-01-28,2017-01-24,1585.998,1762.22,RXRD652478,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
875.8,2017-01-28,2017-01-24,788.2199999999998,875.8,RXRD652943,CARDINAL HEALTH,IL,AURORA,60502,USA,AURORA,IL,60502,RW0,
291.19,2017-01-28,2017-01-26,262.071,291.19,RXRD654502,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
3396.88,2017-01-28,2017-01-24,3057.192,3396.88,SABM1701002914,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,PHOENIX,AZ,85027,RA0,
1529.58,2017-01-28,2017-01-24,1376.6219999999998,1529.58,SV1712062997,SUPERVALU,AZ,SCOTTSDALE,85260,USA,SCOTTSDALE,AZ,85260,RA0,
46.8,2017-01-28,2017-01-24,42.12,46.8,SW120616F1267,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,NEW CITY,NY,10956,FC3,
15719.28,2017-01-28,2017-01-24,14147.352,15719.28,SWYM0117002033,MCKESSON DRUG,IL,DANVILLE,61834,USA,PHOENIX,AZ,85027,RA0,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM091616HE-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,WASHINGTON CROSSING,PA,18977,BH5,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM101316BC-AMNL,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,TOTOWA,NJ,07512,FB5,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM101316CH-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,JERSEY CITY,NJ,07306,FC0,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM101316HF-AMNL,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,HOBOKEN,NJ,07030,FH1,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM102516AV-AMNL,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,ALLENTOWN,NJ,08501,BA8,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM102716AZ-AMNL,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,TEANECK,NJ,07666,FA1,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM102716IC-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,MORGANVILLE,NJ,07751,BI6,
0.0,2017-01-28,2017-01-24,0.0,0.0,TOM102716PT-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,FREEHOLD,NJ,07728,BP1,
267.63,2017-01-28,2017-01-24,240.867,267.63,TPRF01171559038,CARDINAL HEALTH,IL,AURORA,60502,USA,SAINT LOUIS,MO,63121,BC0,
21.44,2017-01-28,2017-01-24,19.296,21.44,TPRF01171559130,CARDINAL HEALTH,IL,AURORA,60502,USA,TAMAQUA,PA,18252,FH2,
12.82,2017-01-28,2017-01-24,11.538,12.82,TPRF01171559160,CARDINAL HEALTH,IL,AURORA,60502,USA,MASON,OH,45040,FS3,
6.62,2017-01-28,2017-01-24,5.958,6.62,TPRF05171504713,CARDINAL HEALTH,IL,AURORA,60502,USA,DARLINGTON,SC,29532,BC3,
73.66,2017-01-28,2017-01-24,66.294,73.66,TPRF52161555774,CARDINAL HEALTH,IL,AURORA,60502,USA,WARSAW,IN,46580,FP4,
43.22,2017-01-28,2017-01-24,38.898,43.22,TPRF52161555894,CARDINAL HEALTH,IL,AURORA,60502,USA,CAMDEN,NJ,08105,FC2,
71.55,2017-01-28,2017-01-24,64.395,71.55,TPRF52161556228,CARDINAL HEALTH,IL,AURORA,60502,USA,STEPHENVILLE,TX,76401,BS4,
36.28,2017-01-28,2017-01-24,32.652,36.28,TPRF52161556282,CARDINAL HEALTH,IL,AURORA,60502,USA,HUNTINGTON STATION,NY,11746,BH7,
992.3,2017-01-28,2017-01-24,893.0699999999998,992.3,TPRF53161555323,CARDINAL HEALTH,IL,AURORA,60502,USA,BROOKLYN,NY,11220,FE3,
19.06,2017-01-28,2017-01-24,17.154,19.06,TPRF53161557091,CARDINAL HEALTH,IL,AURORA,60502,USA,BROOKLYN,NY,11220,FM5,
26.96,2017-01-28,2017-01-24,24.264,26.96,TPRF53161557429,CARDINAL HEALTH,IL,AURORA,60502,USA,JACKSONVILLE,FL,32217,FB3,
6.62,2017-01-28,2017-01-24,5.958,6.62,TPRF53161557780,CARDINAL HEALTH,IL,AURORA,60502,USA,BROOKLYN,NY,11220,FU4,
5075.71,2017-01-28,2017-01-25,4568.139,5075.71,WAG46725,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
764.15,2017-01-28,2017-01-25,687.735,764.15,WND011741525,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,JACKSONVILLE,FL,32254,BW8,
185.0,2017-02-04,2017-02-02,166.5,185.0,01172528185,AMERISOURCEBERGEN DRUG CORP,OH,LOCKBOURNE,43137,USA,WEST LIBERTY,OH,43357,BM8,
33.68,2017-02-04,2017-02-02,30.312,33.68,033282ARK14510,AMERISOURCEBERGEN DRUG CORP,NY,NORTH AMITYVILLE,11701,USA,BROOKLYN,NY,11206,FA5,
99.84,2017-02-04,2017-02-02,89.856,99.84,114939,MCKESSON CORPORATION,OK,OKLAHOMA CITY,73179,USA,BROKEN BOW,OK,74728,BS9,
24.0,2017-02-04,2017-02-03,21.6,24.0,115075,CARDINAL HEALTH,MS,MADISON,39110,USA,PEARL RIVER,LA,70452,FF0,
25.92,2017-02-04,2017-02-03,23.328000000000003,25.92,115108,CARDINAL HEALTH,MS,MADISON,39110,USA,SLIDELL,LA,70458,BF9,
55.1,2017-02-04,2017-02-03,49.59,55.1,115137,CARDINAL HEALTH,MS,MADISON,39110,USA,SLIDELL,LA,70461,FF5,
206.4,2017-02-04,2017-02-03,185.76,206.4,115235,MORRIS & DICKSON CO,LA,SHREVEPORT,71115,USA,NATCHITOCHES,LA,71457,BC6,
